"Route_Code","Route_Name","Verdict","Category","Eng_Type","Eng_KM","Real_KM_mid","KM_Delta","Real_RoadKM_raw","Eng_O","Eng_D","Finding","Sources","osrm_km","osrm_min","repro_eng","osrm_matches_real","root","osrm_km","osrm_min","repro_eng","osrm_matches_real","root"
"SRSR02012904","Parimpora to Hazratbal","REVIEW","OVER_OSRM","Peri_Urban","16.104","10.5","53","9-12","34.111187,74.747451","34.127549,74.835646","Corridor is real and even independently corroborated as an existing SSCL route ('Route 9 from Parimpora to Hazratbal' in a published 16-route list), but this specific engine row is marked CMP_Trunk=False despite SSCL apparently operating exactly this corridor, and the modelled 16.1km/80.5min cycle is on the high side versus the ~9-12km/15-18min one-way that direct-route sources suggest, even allowing for the lakeside detour.","kashmirlife.net, wikipedia.org","14.3","14.8","False","False","OTHER","14.3","14.8","False","False","OTHER"
"SRSR02022917","Parimpora to Humhama","REVIEW","OVER_OSRM","Peri_Urban","16.99","10.5","62","8-13","34.111187,74.747451","34.020926,74.770771","Corridor and endpoints are real (Humhama is the well-documented Srinagar airport locality, roughly 8-13km from Parimpora/central Srinagar per available sources), and the engine's 17.0km/42min one-way is plausible road-routing but runs on the high side of multiple distance and time estimates (roughly 31-112% over depending on the reference point); flagged as a moderate over-estimate rather than a corridor problem.","savaari.com, distancesfrom.com, srinagaronline.in","12.8","11.3","False","False","OTHER","12.8","11.3","False","False","OTHER"
"SRPW02022902","Parimpora to Pampore","REVIEW","OTHER_MINOR","Peri_Urban","23.817","22.0","8","20-24","34.111187,74.747451","34.010891,74.912941","Standard published Srinagar(centre)-Pampore distance is only 14-17 km; engine's Parimpora-origin distance of 23.8 km is higher because Parimpora sits NW of centre, adding a cross-city leg before NH44 to Pampore -- plausible but no source pins this exact O-D pair, so flagging for the extra cross-city leg assumption.","distancebetween2.com Pampore-Srinagar,distance.org.in Srinagar-Pampore,Wikipedia Pampore","24.7","19.7","True","True","STALE_RERUN_FIXES","24.7","19.7","True","True","STALE_RERUN_FIXES"
"SRSR02022932","Parimpora to Rangrath","REVIEW","OVER_OSRM","Peri_Urban","19.812","16.0","24","14-18","34.111187,74.747451","34.013161,74.799413","No direct source confirms the Parimpora-Rangreth road distance; haversine-to-engine circuity ratio (1.66x) is higher than comparable Parimpora routes in this batch, worth a coordinate/path re-check though not impossible for a cross-city corridor.","waze.com Rangreth directions,mappls.com Parimpora Bus Stop,onefivenine.com Srinagar localities","13.0","10.7","False","True","STALE_RERUN_FIXES","13.0","10.7","False","True","STALE_RERUN_FIXES"
"BRBR01020202","Pehilpora to URI via Baramulla","REVIEW","OTHER_MINOR","Peri_Urban","25.43","22.5","13","20-25","34.1981,74.364653","34.145081,74.183855","Could not independently verify ""Pehilpora"" as a named locality; engine distance is roughly half the full Baramulla-Uri road (49-50 km), consistent with Pehilpora being a midpoint village, but confirm against a gazetteer.","distancesfrom.com Baramulla-Uri; facebook.com Baramulla-Uri-Kupwara; greaterkashmir.com Uri-Srinagar bus service","24.1","20.7","True","True","STALE_RERUN_FIXES","24.1","20.7","True","True","STALE_RERUN_FIXES"
"ANAN05010101","Phalgam to Anantnagh","REVIEW","OTHER_MINOR","Peri_Urban","39.73","45.5","-13","45-46","34.015555,75.327115","33.74535,75.186081","Engine's 39.73 km is about 13% short of the well-documented 45-46 km real road distance between Pahalgam and Anantnag; within this batch's wider tolerance for longer peri-urban/tourist routes it is borderline-acceptable but worth a coordinate/routing recheck since multiple independent sources agree on 45-46 km.","yatra.com Anantnag-Pahalgam,distancebetween2.com Pahalgam-Anantnag,cliffhangersindia.com Anantnag-Pahalgam taxi fare","39.7","35.2","True","True","STALE_RERUN_FIXES","39.7","35.2","True","True","STALE_RERUN_FIXES"
"SRSR02023003","Qamarwari to Baghi Mehtab","REVIEW","OVER_OSRM","Peri_Urban","16.223","10.5","55","9-12","34.094819,74.766082","34.016517,74.812674","No direct source for this specific O-D pair, but the circuity ratio (engine 16.22 km vs haversine 9.71 km, ~1.67x) is the highest among the genuinely intra-city legs in this batch; recommend re-checking the routed path or coordinates for Bagh-e-Mehtab.","Wikipedia Bagh e Mehtab,onefivenine.com Bagh-e-Mehtab,99acres.com Bagh-i-Mehtab","13.2","13.6","False","False","OTHER","13.2","13.6","False","False","OTHER"
"SRSR01020813","Rangpora to Dalgate","REVIEW","OVER_OSRM","Peri_Urban","15.533","10.5","48","9-12","34.161641,74.817634","34.081628,74.826887","Circuity ratio (1.74x) is elevated; Rangpora's exact coordinates could not be independently confirmed beyond its description as adjacent to Buchpora on the Ganderbal road, so the precise O-D distance carries some uncertainty -- recommend a coordinate recheck.","ganderbal.nic.in how-to-reach,Wikipedia Buchpora,distancesfrom.com Lal Chowk-Soura via Nowhatta","11.4","11.1","False","True","STALE_RERUN_FIXES","11.4","11.1","False","True","STALE_RERUN_FIXES"
"SRSR01020822","Rangpora to LD","REVIEW","OVER_OSRM","Peri_Urban","21.916","9.5","131","8-11","34.161641,74.817634","34.081954,74.805892","Engine's Rangpora-to-LD distance (21.9 km) is far above the ~9-11 km a direct Ganderbal-road-to-Karan Nagar run would imply (haversine only 8.93 km); this is the largest circuity outlier in the batch and likely reflects either a coordinate snap error or an unrealistic routed path -- recommend re-running OSRM for this O-D pair specifically.","Wikipedia Buchpora,srinagar.nic.in Lal Ded Hospital,mappls.com Lalla Ded Hospital","10.9","11.8","False","True","STALE_RERUN_FIXES","10.9","11.8","False","True","STALE_RERUN_FIXES"
"SRSR01010809","Rangpora to Soura","FAIL","GEOCODE_FAIL","Peri_Urban","22.053","3.0","635","2-4","34.161641,74.817634","34.137704,74.802102","Rangpora and Soura are adjacent localities on the same Ganderbal-road corridor (haversine only 3.02 km), but the engine models a 22.05 km / 110.3-min cycle -- nearly identical to the also-anomalous Rangpora-to-LD route in this same batch, strongly suggesting a data/routing error (e.g. a snapped-to-wrong-node OSRM call or a copy/paste of another route's distance) rather than a real corridor characteristic.","Wikipedia Buchpora,Wikipedia Soura Srinagar,distancesfrom.com Lal Chowk-Soura via Nowhatta","4.8","6.8","False","False","OTHER","4.8","6.8","False","False","OTHER"
"SRGB01010902","Soura to Gadoora","REVIEW","OVER_OSRM","Peri_Urban","17.862","7.3","145","8-10 (Gadoora is cited as ~8km from SKIMS Soura; haversine 4.66km)","34.137704,74.802102","34.176015,74.781487","Real-world sources (villageinfo.in) state Gadoora is only about 8 km from SKIMS Soura, well under half the engine's 17.86 km Route_KM; likely an over-estimated road path or coordinate/routing issue inflating distance.","villageinfo.in, onefivenine.com","7.9","12.8","False","True","STALE_RERUN_FIXES","7.9","12.8","False","True","STALE_RERUN_FIXES"
"SRGB02023901","Srinagar to Gund","REVIEW","OVER_OSRM","Peri_Urban","57.421","40.5","42","55-60 (Gund lies on NH1 between Ganderbal ~21km and Sonamarg ~80km from Srinagar; estimated 55-60km; haversine 32.01km)","34.07457,74.820502","34.257896,75.088684","Distance matches well, but the modelled cycle time runs noticeably longer than typical real-world estimates for this NH1 corridor; verify if congestion/layover assumptions for this hill route are appropriately calibrated.","ganderbal.nic.in, ninemash.com, etourismkashmir.com","57.4","65.3","True","False","COORD_OR_DETOUR","57.4","65.3","True","False","COORD_OR_DETOUR"
"SRGB02034001","TRC to Central University Ganderbal via Karan Nagar Zoonimar 90ft Road","REVIEW","OVER_OSRM","Peri_Urban","27.314","20.0","37","21-25 (Central University Ganderbal campus is beyond Ganderbal town, which itself is ~15-21km from Srinagar/TRC; haversine 21.07km)","34.083498,74.808812","34.272563,74.824405","The named via-points (Karan Nagar, Zoonimar Road, 90ft Road) make this a genuinely longer in-city-plus-suburban routing than a direct Srinagar-Ganderbal estimate, which likely explains both the higher KM and time versus straight-route benchmarks; recommend confirming via-point sequencing matches a realistic non-circuitous path.","kashmirlife.net (Red Buses route chart), ganderbal.nic.in, distancebetween2.com","27.3","31.6","True","False","COORD_OR_DETOUR","27.3","31.6","True","False","COORD_OR_DETOUR"
"PWSR03020939","Wasoora to Srinagar","REVIEW","OTHER_MINOR","Peri_Urban","39.631","40.5","-2","48-50 (Wikipedia: Wasoora is 50km from Srinagar; haversine 30.95km)","33.82621,74.971966","34.07457,74.820502","Wikipedia states Wasoora is 50 km from Srinagar (and 14 km east of Pulwama HQ), but the engine's Route_KM of 39.6 km is about 20% short of this sourced figure; recommend re-checking the coordinate/routing for Wasoora.","Wikipedia (Wasoora, Pulwama), distancefromto.net","39.6","40.6","True","True","STALE_RERUN_FIXES","39.6","40.6","True","True","STALE_RERUN_FIXES"
"SRSR02020223","Baghat Shora to Lalchowk","REVIEW","OVER_OSRM","Urban","13.003","4.5","189","3-5 (Baghat/Barzulla area is documented as 2-7km from Lal Chowk depending on exact sub-locality; haversine 3.37km)","34.041705,74.802477","34.071262,74.810527","Baghat (Shora) is documented as only 2-7 km from Lal Chowk by multiple sources (Barzulla ~2km, Bagh-e-Mehtab ~7km), but the engine models a 13 km, 52-minute one-way route for this short intra-city hop -- the routing/coordinate likely picked up a circuitous OSRM path or a less-central 'Shora' sub-point; recommend verifying the exact Baghat Shora coordinate and routing.","onefivenine.com (Baghat locality), distancesfrom.com, latlong.net (Lal Chowk)","4.4","4.6","False","True","STALE_RERUN_FIXES","4.4","4.6","False","True","STALE_RERUN_FIXES"
"SRSR02020525","Batamaloo Circular via Khonmoh","REVIEW","UNDER_OTHER","Urban","13.87","19.9","-30","10-13 (no exact source for Khonmoh leg; haversine 9.89km, with circular/via-point road premium typical 25-30% over straight line)","34.068715,74.779627","34.041631,74.881908","Real SSCL data confirms a precedent Batamaloo circular e-bus route (the kashmirlife.net 'Route 9' loop), supporting that this corridor type is genuine, but the specific Khonmoh routing and resulting cycle time could not be independently corroborated against a named timetable; treat as plausible but unverified in detail.","kashmirlife.net (Red Buses route chart -- Route 9 circular), onefivenine.com (Khonmoh)","13.9","12.4","True","False","COORD_OR_DETOUR","13.9","12.4","True","False","COORD_OR_DETOUR"
"SRSR02020501","Batamaloo to Arath","REVIEW","OVER_OSRM","Urban","12.395","7.0","77","6-8 (Arath is cited as ~6km from a Zainakote reference point near Batamaloo; haversine 6.92km)","34.068715,74.779627","34.040934,74.846883","Arath is documented as only about 6 km from the Zainakote/Batamaloo reference area, well under half the engine's 12.4 km Route_KM, and the implied one-way time (~49 min) is too long for a route this short; recommend re-checking the routing/coordinate for Arath.","elevationmap.net (Zainakote/Arath/Batamaloo proximity), onefivenine.com (Batmaloo locality)","12.4","13.3","True","False","COORD_OR_DETOUR","12.4","13.3","True","False","COORD_OR_DETOUR"
"SRSR02020613","Batmaloo to Dalgate","REVIEW","OVER_OSRM","Urban","5.366","3.5","53","3-4","34.079006,74.794454","34.081628,74.826887","Modelled road distance (5.4 km) is roughly 80% longer than straight-line (3.0 km); within tolerance for a short urban route given the documented Dalgate one-way detours, but extremely low load (0.008) suggests this route may be redundant with other Batamaloo-area services — flag for de-duplication.","onefivenine.com,distcalculator.com,tribuneindia.com","4.8","4.6","False","False","OTHER","4.8","4.6","False","False","OTHER"
"SRSR02011109","Chanapora to Soura","REVIEW","OVER_OSRM","Urban","14.108","11.5","23","11-12","34.033985,74.808002","34.137704,74.802102","KM delta is within tolerance but the implied average speed (~16 km/h one-way) is slow even for Srinagar city traffic; verify whether the route truly transits downtown or has a more direct alignment via the bypass.","wikipedia.org (Soura, Srinagar),onefivenine.com,alldistancebetween.com","14.1","14.2","True","False","COORD_OR_DETOUR","14.1","14.2","True","False","COORD_OR_DETOUR"
"BRBR01010201","Garkote to Baramulla","FAIL","GEOCODE_FAIL","Urban","2.961","19.5","-85","37 (real Garkote, Uri block) vs ~2-3 (engine coords)","34.1981,74.364653","34.208735,74.342587","Real Garkote village (Uri tehsil, Baramulla district) is 37 km from Baramulla town; the engine's O coordinate (34.1981,74.364653) is only ~2.4 km from its D coordinate (Baramulla town), meaning the geocoder almost certainly resolved 'Garkote' to a wrong/generic point near Baramulla rather than the real village. This is a coordinate/geocoding error, not a real short urban corridor.","onefivenine.com (Garkote-a Uri),villageinfo.org,geolysis.com","3.0","3.4","True","False","COORD_OR_DETOUR","3.0","3.4","True","False","COORD_OR_DETOUR"
"SRSR01020422","Hazratbal to LD","REVIEW","OVER_OSRM","Urban","9.286","6.5","43","6-7","34.127549,74.835646","34.081954,74.805892","Distance premium (haversine 5.76 vs modelled 9.3 km, +61%) is higher than typical for a direct Hazratbal-LD hop; either an unstated via-detour exists or the route geometry needs rechecking. Corridor and both endpoints are real and served.","wikipedia.org (Hazratbal),onefivenine.com,kashmirlife.net","9.3","10.4","True","False","COORD_OR_DETOUR","9.3","10.4","True","False","COORD_OR_DETOUR"
"SRSR02022941","Hazratbal, Lalbazar","REVIEW","OVER_OSRM","Urban","8.808","6.5","36","6-7","34.111187,74.747451","34.087134,74.811433","Route name says 'Hazratbal' but O coordinate (34.111187,74.747451) matches Parimpora, not the true Hazratbal point used elsewhere (34.127549,74.835646) — likely a naming/endpoint mismatch from route consolidation; verify intended origin.","onefivenine.com (Lal Bazar); wikipedia.org (Hazratbal); indiainfo.net","8.8","9.1","True","False","COORD_OR_DETOUR","8.8","9.1","True","False","COORD_OR_DETOUR"
"SRSR02021807","JVC to Batwara","REVIEW","OVER_OSRM","Urban","14.66","9.5","54","9-10","34.085141,74.762209","34.05838,74.85221","KM premium (+66% over haversine) and slow implied speed (~15 km/h one-way) are both on the high end; corridor and endpoints (JVC Hospital Bemina; Batwara) are real, but the routing/cycle-time should be rechecked against an actual road path.","mappls.com (JVC Hospital Bemina),justdial.com,onefivenine.com (Jawahar Nagar)","14.5","13.9","True","False","COORD_OR_DETOUR","14.5","13.9","True","False","COORD_OR_DETOUR"
"SRSR02022016","Jehangir Chowk to HMT","REVIEW","OVER_OSRM","Urban","10.311","7.5","37","7-8","34.071881,74.804719","34.108505,74.74716","KM premium is on the high side (+44% to +54% vs two plausible real-road estimates) for a route of this length; corridor and endpoint (HMT/Zainakote) are real and documented, but routing should be rechecked for unnecessary detour.","mappls.com (Zainakote/HMT),greaterkashmir.com (HMT factory history),wikimapia.org","8.6","7.9","False","True","STALE_RERUN_FIXES","8.6","7.9","False","True","STALE_RERUN_FIXES"
"SRSR02022018","Jehangir Chowk to JVC","REVIEW","OVER_OSRM","Urban","7.723","4.5","72","4-5","34.071881,74.804719","34.085141,74.762209","KM premium is high (+54% to +93% over haversine) for a sub-8 km urban route; while within the wider ±25% short-route tolerance band only at the low end of the range, this and the related JVC-to-Batwara route both show elevated circuity — worth a routing recheck.","mappls.com (JVC Hospital Bemina),justdial.com","7.5","7.9","True","False","COORD_OR_DETOUR","7.5","7.9","True","False","COORD_OR_DETOUR"
"SRSR02022229","LD to Parimpora","REVIEW","OVER_OSRM","Urban","10.44","8.5","23","8-9","34.081954,74.805892","34.111187,74.747451","Modelled one-way time appears generous relative to the short distance; otherwise corridor and coordinates check out fine","onefivenine.com, indiamapia.com, jksrtc.co.in","7.8","9.0","False","True","STALE_RERUN_FIXES","7.8","9.0","False","True","STALE_RERUN_FIXES"
"SRSR01020522","Lalbazar to LD","REVIEW","OVER_OSRM","Urban","9.308","6.5","43","6-7","34.125566,74.817375","34.081954,74.805892","KM_Delta is large in percentage terms but the absolute gap is only ~2-3 km, typical for very short urban routes; cycle time and headway look generous - worth re-checking origin pin for Lal Bazar","onefivenine.com, distancesfrom.com, wikipedia.org","6.3","7.2","False","True","STALE_RERUN_FIXES","6.3","7.2","False","True","STALE_RERUN_FIXES"
"SRSR01020529","Lalbazar to Parimpora","REVIEW","OVER_OSRM","Urban","12.646","10.0","26","9-11","34.125566,74.817375","34.111187,74.747451","Distance and corridor are plausible but on the upper edge of tolerance; cycle time is generous - flag for headway/fleet re-check rather than route validity","onefivenine.com, indiamapia.com","11.4","11.7","True","True","STALE_RERUN_FIXES","11.4","11.7","True","True","STALE_RERUN_FIXES"
"SRSR01020622","Malbagh to LD","REVIEW","OVER_OSRM","Urban","11.428","9.0","27","8-10","34.144232,74.825477","34.081954,74.805892","Real corridor and coordinates check out; modelled cycle time runs a bit long relative to the short distance - fleet of 6 for a 20 min headway, 0.165 load looks generous but not unreasonable for a hospital-bound route","onefivenine.com (Malabagh locality), srinagar.nic.in (LD Hospital)","9.2","11.5","False","True","STALE_RERUN_FIXES","9.2","11.5","False","True","STALE_RERUN_FIXES"
"SRSR02022728","Pantha Chowk to Panzinara","REVIEW","OVER_OSRM","Urban","10.811","9.0","20","8-10","34.044708,74.833526","34.058576,74.763155","Real corridor consistent with SSCL coverage; modelled distance/time on the higher side of tolerance for a 15-min headway trunk with fleet of 7 - worth re-checking if Panzinara terminal pin is precise","kashmirlife.net (SSCL route chart), mappls.com (Pantha Chowk bus stand), onefivenine.com","10.8","12.4","True","False","COORD_OR_DETOUR","10.8","12.4","True","False","COORD_OR_DETOUR"
"SRSR02022938","Parimpora to Saidakadal","REVIEW","OVER_OSRM","Urban","14.067","9.0","56","8-10","34.111187,74.747451","34.103619,74.827952","Engine KM (14.07) is roughly 41-56% higher than a realistic 8-10 km road distance between Parimpora and old-city Saidakadal; likely an inflated/indirect engine path. Corridor itself and headway/fleet are otherwise plausible given old-city congestion.","kashmirlife.net,mapcarta.com,onefivenine.com","9.7","11.2","False","True","STALE_RERUN_FIXES","9.7","11.2","False","True","STALE_RERUN_FIXES"
"SRSR02013004","Qamarwari to Hazratbal","REVIEW","OVER_OSRM","Urban","14.081","8.0","76","7-9","34.094819,74.766082","34.127549,74.835646","Web sources independently confirm Qamarwari-Hazratbal is ~7 km/~12-20 min by road, but engine models 14.08 km and a ~55-min one-way time — roughly double; likely an indirect/looped path or unit issue in the engine route geometry.","alldistancebetween.com,distancesfrom.com,waze.com","12.8","14.7","True","False","COORD_OR_DETOUR","12.8","14.7","True","False","COORD_OR_DETOUR"
"SRSR02023020","Qamarwari to Jehangir Chowk","REVIEW","OVER_OSRM","Urban","12.659","5.5","130","5-6","34.094819,74.766082","34.071881,74.804719","Engine KM (12.66) is more than double the haversine (4.38 km) and well above any reasonable road-detour factor for two adjacent central-Srinagar points; route geometry likely includes an unnecessary loop. Corridor and headway/fleet otherwise sane.","tellmyroute.com,kashmirlife.net,onefivenine.com","6.6","8.3","False","True","STALE_RERUN_FIXES","6.6","8.3","False","True","STALE_RERUN_FIXES"
"SRSR02023029","Qamarwari to Parimpora","REVIEW","OVER_OSRM","Urban","14.577","2.5","483","2-3","34.094819,74.766082","34.111187,74.747451","Severe distance mismatch: independently-confirmed adjacency (~0.8-3 km, both on JKRTC Route 9) versus engine's 14.58 km / ~55-min one-way; engine geometry for this pair is almost certainly wrong (likely picked up a long detour or mis-snapped node).","mappls.com,kashmirlife.net,onefivenine.com","3.8","6.0","False","False","OTHER","3.8","6.0","False","False","OTHER"
"SRSR01020823","Rangpora to Lalchowk","REVIEW","OVER_OSRM","Urban","13.983","10.0","40","9-11","34.161641,74.817634","34.071262,74.810527","Could not find a direct, named source confirming Rangpora-Lal Chowk distance/service; haversine (10.07 km) is reasonably close to engine KM but the one-way time of ~55 min for ~10-14 km looks inflated versus comparable Srinagar corridors (e.g. Soura-Lalchowk runs faster). Flagging for time-plausibility, not corridor existence.","latlong.net,distancesfrom.com,onefivenine.com","12.9","12.5","True","False","COORD_OR_DETOUR","12.9","12.5","True","False","COORD_OR_DETOUR"
"SRSR02023736","Safakadal to SMHS","FAIL","GEOCODE_FAIL","Urban","6.257","1.3","381","1-1.6","34.09322,74.791695","34.086425,74.798484","Engine models 6.26 km / ~23-25 min one-way for a corridor independently confirmed at 0.8-1.6 km / under 10 min — a 4-6x distance overstatement; the engine likely mis-snapped one endpoint onto a long detour or a wrong road segment for this very short hop.","onefivenine.com,jkb.bank.in,justdial.com","1.6","2.7","False","False","OTHER","1.6","2.7","False","False","OTHER"
"SRSR02023810","Saidakadal to Bypass","REVIEW","OVER_OSRM","Urban","13.28","7.5","77","7-8","34.103619,74.827952","34.090936,74.760881","Engine KM (13.28) is roughly double the haversine (6.33 km) and the implied detour factor (~2.1x) is high even for Srinagar's old-city street grid; corridor existence (old city to bypass) is plausible but the specific routed distance looks inflated.","greaterkashmir.com,mapcarta.com,kashmirobserver.net","11.2","11.9","False","False","OTHER","11.2","11.9","False","False","OTHER"
"SRSR01020912","Soura to Chuntwaliwar","REVIEW","OVER_OSRM","Urban","5.78","4.5","28","4-5","34.137704,74.802102","34.094606,74.800214","Could not independently confirm Chuntwaliwar as a real, named Srinagar locality despite searching multiple gazetteer/map sources; Soura and the destination coordinate are otherwise plausible and close to known urban areas, so this is flagged for endpoint-name verification rather than a hard FAIL.","wikipedia.org,onefivenine.com,dbpedia.org,mapcarta.com","5.8","6.9","True","False","COORD_OR_DETOUR","5.8","6.9","True","False","COORD_OR_DETOUR"
"SRSR01020913","Soura to Dalgate","REVIEW","OVER_OSRM","Urban","11.745","7.0","68","7","34.137704,74.802102","34.081628,74.826887","Real road distance (~7 km via distancesfrom.com) is well below the modelled 11.745 km, a 68% overstatement; likely the engine routed via a longer corridor than the direct Soura-Dalgate Bridge road. Headway 20 min and fleet 6 are still plausible for an urban link given the high cycle time used.","distancesfrom.com, Wikipedia Soura","7.6","8.1","False","True","STALE_RERUN_FIXES","7.6","8.1","False","True","STALE_RERUN_FIXES"
"SRGB01010903","Soura to Ganderbal","REVIEW","UNDER_OTHER","Urban","9.86","12.5","-21","10-15","34.137704,74.802102","34.192755,74.769753","Real driving distance for Soura/Srinagar to Ganderbal is commonly cited as 10-15 km depending on source and exact start point; modelled 9.86 km falls at the low end of that range, so it is plausible but on the short side. Treat as REVIEW for verification of the exact alignment used, not a hard error.","distancebetween2.com, onefivenine.com, ganderbal.nic.in","9.5","14.6","True","False","COORD_OR_DETOUR","9.5","14.6","True","False","COORD_OR_DETOUR"
"SRSR01010904","Soura to Hazratbal","REVIEW","OVER_OSRM","Urban","8.337","6.0","39","6","34.137704,74.802102","34.127549,74.835646","Real road distance per alldistancebetween.com is about 6 km (7 min driving) vs modelled 8.337 km, a 39% overstatement, and the one-way time of ~33 min is roughly 3x the real drive time even allowing for stops. The corridor and headway/fleet are sound; the KM and cycle-time figures look inflated.","alldistancebetween.com, onefivenine.com","5.0","8.7","False","True","STALE_RERUN_FIXES","5.0","8.7","False","True","STALE_RERUN_FIXES"
"SRSR01020922","Soura to LD","REVIEW","OVER_OSRM","Urban","10.099","7.5","35","7-8","34.137704,74.802102","34.081954,74.805892","LD Hospital (Lal Ded) sits in Wazir Bagh near Lal Chowk; estimated real road distance from Soura is about 7-8 km versus the modelled 10.1 km (about 30% over), and modelled one-way time of ~40 min is roughly double a realistic drive even with downtown congestion factored in.","srinagar.nic.in, mappls.com, gmcs.ac.in","7.1","8.7","False","True","STALE_RERUN_FIXES","7.1","8.7","False","True","STALE_RERUN_FIXES"
"SRSR01020929","Soura to Parimpora","REVIEW","OTHER_MINOR","Urban","12.314","12.0","3","11-13","34.137704,74.802102","34.111187,74.747451","Could not find a direct published distance for Soura-Parimpora; based on known Srinagar geography and the Parimpora bypass junction location the road distance is estimated at 11-13 km, close to modelled 12.314 km, but the one-way time of ~49 min is roughly double a realistic estimate even allowing for the busy mandi-area traffic.","wikimapia.org Parimpora Bypass Junction, indiamapia.com Parimpora, onefivenine.com Soura","11.3","13.0","True","True","STALE_RERUN_FIXES","11.3","13.0","True","True","STALE_RERUN_FIXES"
"SRSR01020936","Soura to SMHS","REVIEW","OVER_OSRM","Urban","11.97","8.5","41","8-9","34.137704,74.802102","34.086425,74.798484","SMHS Hospital is well documented in Karan Nagar; no single published Soura-SMHS distance was found but based on comparable city-core trips (Soura to Lal Chowk ~9-11 km) an SMHS distance of 8-9 km is a reasonable estimate, making the modelled 11.97 km about 37% over. Headway 20 min and fleet 6 are appropriate for a hospital-destination urban route.","srinagar.nic.in SMHS Hospital, mappls.com SMHS, gmcs.ac.in SMHS","7.7","9.3","False","True","STALE_RERUN_FIXES","7.7","9.3","False","True","STALE_RERUN_FIXES"
"SRBG02023903","Srinagar to Budgam","FAIL","GEOCODE_FAIL","Urban","23.639","11.5","106","9-14","34.07457,74.820502","34.006185,74.641626","Multiple independent sources (yatra.com, mapsofindia.com, clearcarrental.com) consistently cite Srinagar-Budgam as 9-14 km via NH444 (about 13-20 min drive), but the modelled route is 23.639 km with a 189-min round trip cycle (about 95 min one-way) — roughly double the real distance and far beyond plausible drive time; the destination coordinate appears to be misplaced west of the actual Budgam town centre, likely near a different village.","yatra.com Budgam-Srinagar distance, mapsofindia.com, clearcarrental.com, Wikipedia Budgam district","23.6","28.2","True","False","COORD_OR_DETOUR","23.6","28.2","True","False","COORD_OR_DETOUR"
"SRBG02033901","Srinagar to Chadoora","REVIEW","OVER_OSRM","Urban","16.895","14.5","17","14-15","34.07457,74.820502","33.943466,74.79875","Chadoora is consistently cited as 14-15 km from Srinagar (alldistancebetween.com, Wikipedia) versus the modelled 16.895 km, about a 17% overstatement at the edge of acceptable tolerance, and the one-way time of ~68 min is roughly 3x the realistic 20-25 min drive even accounting for the documented narrow/congested road locals want widened. Corridor is real and well-used; headway 35 min and fleet 5 are plausible for a peri-urban feeder of this length.","alldistancebetween.com Srinagar-Chadoora, Wikipedia Chadoora, facebook.com Dr Raja Muzaffar Bhat 4-lane road petition","16.9","16.2","True","True","STALE_RERUN_FIXES","16.9","16.2","True","True","STALE_RERUN_FIXES"
"SRPW02033904","Srinagar to NEW Khanda","REVIEW","OTHER_MINOR","Urban","22.786","26.0","-12","24-28","34.07457,74.820502","33.915501,74.882603","Real village in Pulwama tehsil exists and coordinate placement is broadly correct, but no source gives a precise point-to-point distance for Khanda itself (only general Srinagar-Pulwama figures), so the Real_RoadKM here is an inferred band rather than a directly sourced number; recommend confirming exact Khanda road distance via Google Maps before publishing.","icbse.com, distancebetween2.com, yatra.com","22.8","21.4","True","True","STALE_RERUN_FIXES","22.8","21.4","True","True","STALE_RERUN_FIXES"
"SRSR02023934","Srinagar to Rasoo","REVIEW","OTHER_MINOR","Urban","4.174","4.0","4","3-5","34.07457,74.820502","34.105358,74.809909","Coordinates land in a real, densely populated part of north Srinagar and the short distance/time are plausible, but no independent source could confirm a locality specifically named Rasoo (may be a minor mahalla/local name not indexed online); recommend verifying the exact stop name against a local gazetteer or Google Maps before publishing.","onefivenine.com, dbpedia.org (Soura context), latlong.net","4.2","4.7","True","True","STALE_RERUN_FIXES","4.2","4.7","True","True","STALE_RERUN_FIXES"
"SRBG02014001","TRC Srinagar to Airport","REVIEW","OVER_OSRM","Urban","14.524","12.0","21","12","34.075384,74.824467","33.993793,74.774698","Real, well known TRC-to-Airport corridor with both endpoints correctly placed; however multiple sources converge on roughly 12 km while the engine models 14.5 km (about 21% over), and the modelled one-way time of ~58 min is long for this corridor versus the commonly cited 20-30 min airport transfer time -- worth rechecking the routed path for unnecessary detour.","distancesfrom.com, distcalculator.com, clearcarrental.com","14.5","20.3","True","False","COORD_OR_DETOUR","14.5","20.3","True","False","COORD_OR_DETOUR"
